id,issue_type,label,text_similarity,issue_match,location_match,duplicate_score,duplicate_score_percent,is_duplicate
1,Pothole,DUPLICATE,0.8485,1.0,1.0,0.9243,92.43,True
2,Pothole,DUPLICATE,0.6749,1.0,1.0,0.8375,83.75,True
3,Pothole,DUPLICATE,0.8024,1.0,1.0,0.9012,90.12,True
4,Pothole,DUPLICATE,0.6942,1.0,1.0,0.8471,84.71,True
5,Pothole,DUPLICATE,0.5821,1.0,1.0,0.7911,79.11,True
6,Pothole,DUPLICATE,0.7708,1.0,1.0,0.8854,88.54,True
7,Pothole,DUPLICATE,0.5733,1.0,1.0,0.7866,78.66,True
8,Pothole,DUPLICATE,0.7795,1.0,1.0,0.8897,88.97,True
9,Pothole,DUPLICATE,0.6378,1.0,1.0,0.8189,81.89,True
10,Pothole,DUPLICATE,0.742,1.0,1.0,0.871,87.1,True
11,Pothole,DUPLICATE,0.811,1.0,1.0,0.9055,90.55,True
12,Pothole,DUPLICATE,0.7606,1.0,1.0,0.8803,88.03,True
13,Pothole,DUPLICATE,0.7198,1.0,1.0,0.8599,85.99,True
14,Pothole,DUPLICATE,0.6962,1.0,1.0,0.8481,84.81,True
15,Pothole,DUPLICATE,0.6879,1.0,1.0,0.844,84.4,True
16,Fallen Tree,DUPLICATE,0.6532,1.0,1.0,0.8266,82.66,True
17,Fallen Tree,DUPLICATE,0.6211,1.0,1.0,0.8106,81.06,True
18,Fallen Tree,DUPLICATE,0.689,1.0,1.0,0.8445,84.45,True
19,Fallen Tree,DUPLICATE,0.6602,1.0,1.0,0.8301,83.01,True
20,Fallen Tree,DUPLICATE,0.787,1.0,1.0,0.8935,89.35,True
21,Fallen Tree,DUPLICATE,0.4833,1.0,1.0,0.7417,74.17,False
22,Fallen Tree,DUPLICATE,0.6926,1.0,1.0,0.8463,84.63,True
23,Fallen Tree,DUPLICATE,0.6216,1.0,1.0,0.8108,81.08,True
24,Fallen Tree,DUPLICATE,0.701,1.0,1.0,0.8505,85.05,True
25,Fallen Tree,DUPLICATE,0.6639,1.0,1.0,0.832,83.2,True
26,Fallen Tree,DUPLICATE,0.7179,1.0,1.0,0.859,85.9,True
27,Fallen Tree,DUPLICATE,0.5903,1.0,1.0,0.7952,79.52,True
28,Fallen Tree,DUPLICATE,0.7059,1.0,1.0,0.8529,85.29,True
29,Fallen Tree,DUPLICATE,0.6797,1.0,1.0,0.8398,83.98,True
30,Fallen Tree,DUPLICATE,0.4931,1.0,1.0,0.7466,74.66,False
31,Broken Street Light,DUPLICATE,0.5448,1.0,1.0,0.7724,77.24,True
32,Broken Street Light,DUPLICATE,0.7554,1.0,1.0,0.8777,87.77,True
33,Broken Street Light,DUPLICATE,0.6815,1.0,1.0,0.8407,84.07,True
34,Broken Street Light,DUPLICATE,0.7053,1.0,1.0,0.8527,85.27,True
