threshold,accuracy,precision,recall,f1
0.5,58.0,59.38,95.0,73.08
0.51,58.0,59.38,95.0,73.08
0.52,58.0,59.38,95.0,73.08
0.53,58.0,59.38,95.0,73.08
0.54,59.0,60.0,95.0,73.55
0.55,56.0,58.7,90.0,71.05
0.56,56.0,58.7,90.0,71.05
0.57,57.0,59.34,90.0,71.52
0.58,59.0,60.92,88.33,72.11
0.59,59.0,61.18,86.67,71.72
0.6,59.0,61.73,83.33,70.92
0.61,57.0,60.76,80.0,69.06
0.62,55.0,59.74,76.67,67.15
0.63,55.0,60.27,73.33,66.17
0.64,55.0,60.56,71.67,65.65
0.65,53.0,59.42,68.33,63.57
0.66,54.0,60.94,65.0,62.9
0.67,51.0,59.32,58.33,58.82
0.68,49.0,58.49,51.67,54.87
0.69,48.0,58.33,46.67,51.85
0.7,45.0,56.1,38.33,45.54
0.71,44.0,55.56,33.33,41.67
0.72,43.0,55.17,26.67,35.96
0.73,44.0,57.69,25.0,34.88
0.74,44.0,59.09,21.67,31.71
0.75,45.0,63.16,20.0,30.38
0.76,46.0,71.43,16.67,27.03
0.77,46.0,75.0,15.0,25.0
0.78,43.0,71.43,8.33,14.93
0.79,43.0,80.0,6.67,12.31
0.8,43.0,80.0,6.67,12.31
0.81,42.0,75.0,5.0,9.38
0.82,41.0,66.67,3.33,6.35
0.83,41.0,66.67,3.33,6.35
0.84,41.0,66.67,3.33,6.35
0.85,41.0,100.0,1.67,3.28
0.86,41.0,100.0,1.67,3.28
0.87,41.0,100.0,1.67,3.28
0.88,41.0,100.0,1.67,3.28
0.89,41.0,100.0,1.67,3.28
0.9,41.0,100.0,1.67,3.28
0.91,41.0,100.0,1.67,3.28
0.92,41.0,100.0,1.67,3.28
0.93,40.0,0.0,0.0,0.0
0.94,40.0,0.0,0.0,0.0
0.95,40.0,0.0,0.0,0.0
