epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,253.586,1.41356,5.17656,0.0243,0.36412,0.28404,0.25551,0.11856,1.64946,5.76891,0.03717,0.000416005,0.000416005,0.000416005
2,444.164,1.47595,2.5905,0.02635,0.4707,0.33722,0.33546,0.15553,1.65576,3.10879,0.03765,0.000791455,0.000791455,0.000791455
3,639.244,1.48283,1.9255,0.02602,0.43065,0.381,0.37859,0.18118,1.70926,2.42584,0.04043,0.00112565,0.00112565,0.00112565
4,832.903,1.46848,1.75455,0.02548,0.45255,0.44517,0.41887,0.18953,1.84823,2.30756,0.04474,0.00106437,0.00106437,0.00106437
5,1017.32,1.44272,1.62497,0.02519,0.57149,0.54882,0.5417,0.26759,1.68546,1.87884,0.03923,0.0010025,0.0010025,0.0010025
6,1195.42,1.37402,1.46075,0.02336,0.65367,0.54682,0.60302,0.31068,1.56213,1.8035,0.03507,0.000940625,0.000940625,0.000940625
7,1381.29,1.34519,1.3788,0.02277,0.62607,0.59228,0.6327,0.32972,1.5857,1.5213,0.03541,0.00087875,0.00087875,0.00087875
8,1560.91,1.32308,1.33682,0.02206,0.6265,0.64283,0.66557,0.35454,1.52235,1.45697,0.03376,0.000816875,0.000816875,0.000816875
9,1736.51,1.2756,1.25873,0.02102,0.66177,0.61602,0.6406,0.3553,1.52829,1.45527,0.03333,0.000755,0.000755,0.000755
10,1918.52,1.24311,1.19701,0.02066,0.66217,0.65032,0.66438,0.36033,1.45562,1.48789,0.03187,0.000693125,0.000693125,0.000693125
11,2190.64,1.23719,0.98308,0.0268,0.72626,0.65666,0.68622,0.37629,1.46282,1.27006,0.0314,0.00063125,0.00063125,0.00063125
12,2352.1,1.17121,0.92318,0.02487,0.78644,0.62694,0.72031,0.40811,1.42415,1.31455,0.03052,0.000569375,0.000569375,0.000569375
13,2514.41,1.13564,0.82545,0.02385,0.77874,0.69754,0.77795,0.42778,1.45521,1.18859,0.03146,0.0005075,0.0005075,0.0005075
14,2677.71,1.06688,0.77758,0.02186,0.76879,0.6876,0.7582,0.42334,1.44264,1.20672,0.03073,0.000445625,0.000445625,0.000445625
15,2841.1,1.04882,0.70567,0.02116,0.73111,0.70931,0.75342,0.43339,1.46229,1.14755,0.03148,0.00038375,0.00038375,0.00038375
16,3002.55,0.9998,0.67921,0.02005,0.76176,0.73504,0.77234,0.45443,1.42822,1.06426,0.0298,0.000321875,0.000321875,0.000321875
17,3164.9,0.96569,0.62651,0.01899,0.81409,0.71012,0.79728,0.47349,1.36172,1.03408,0.02869,0.00026,0.00026,0.00026
18,3327.35,0.93742,0.60614,0.01805,0.87855,0.71853,0.82065,0.48259,1.37888,1.0086,0.02875,0.000198125,0.000198125,0.000198125
19,3489.26,0.91898,0.5944,0.01753,0.84789,0.71407,0.81334,0.48978,1.35555,0.99514,0.02795,0.00013625,0.00013625,0.00013625
20,3651.66,0.89739,0.56543,0.01701,0.78453,0.7602,0.81234,0.48572,1.36929,0.97466,0.02833,7.4375e-05,7.4375e-05,7.4375e-05
